image_id,id,filename,image_path,gender,masterCategory,subCategory,articleType,baseColour,usage,productDisplayName
00580ef6-c14a-4d8d-8544-d46c76e155371750312892900-Mast--Harbour-Men-Jeans-5351750312892384-1,00580ef6-c14a-4d8d-8544-d46c76e155371750312892900-Mast--Harbour-Men-Jeans-5351750312892384-1,00580ef6-c14a-4d8d-8544-d46c76e155371750312892900-Mast--Harbour-Men-Jeans-5351750312892384-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/00580ef6-c14a-4d8d-8544-d46c76e155371750312892900-Mast--Harbour-Men-Jeans-5351750312892384-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
00b67bcb-e9cd-4165-93b2-503295668bfe1754556858415-Mens-Slash-Slim-Tapered-Jeans-131754556856955-1,00b67bcb-e9cd-4165-93b2-503295668bfe1754556858415-Mens-Slash-Slim-Tapered-Jeans-131754556856955-1,00b67bcb-e9cd-4165-93b2-503295668bfe1754556858415-Mens-Slash-Slim-Tapered-Jeans-131754556856955-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/00b67bcb-e9cd-4165-93b2-503295668bfe1754556858415-Mens-Slash-Slim-Tapered-Jeans-131754556856955-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
00ba9f53-fdf6-4907-9f18-6ee5150c9ff01733992676736BeneKleedMenStraightFitLowDistressLightFadeJeans1,00ba9f53-fdf6-4907-9f18-6ee5150c9ff01733992676736BeneKleedMenStraightFitLowDistressLightFadeJeans1,00ba9f53-fdf6-4907-9f18-6ee5150c9ff01733992676736BeneKleedMenStraightFitLowDistressLightFadeJeans1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/00ba9f53-fdf6-4907-9f18-6ee5150c9ff01733992676736BeneKleedMenStraightFitLowDistressLightFadeJeans1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
016ff184-cc8b-402d-86b6-ea3d56cbe8be1743057539892-SPYKAR-Men-Jeans-9221743057539247-1,016ff184-cc8b-402d-86b6-ea3d56cbe8be1743057539892-SPYKAR-Men-Jeans-9221743057539247-1,016ff184-cc8b-402d-86b6-ea3d56cbe8be1743057539892-SPYKAR-Men-Jeans-9221743057539247-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/016ff184-cc8b-402d-86b6-ea3d56cbe8be1743057539892-SPYKAR-Men-Jeans-9221743057539247-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
02b99c2d-e0fd-432b-9529-6dad549e275d1750312920180-Mast--Harbour-Men-Jeans-8831750312919592-1,02b99c2d-e0fd-432b-9529-6dad549e275d1750312920180-Mast--Harbour-Men-Jeans-8831750312919592-1,02b99c2d-e0fd-432b-9529-6dad549e275d1750312920180-Mast--Harbour-Men-Jeans-8831750312919592-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/02b99c2d-e0fd-432b-9529-6dad549e275d1750312920180-Mast--Harbour-Men-Jeans-8831750312919592-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
03BaYwGr_83d8c71719d347c6aacf75d2b839052c,03BaYwGr_83d8c71719d347c6aacf75d2b839052c,03BaYwGr_83d8c71719d347c6aacf75d2b839052c.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/03BaYwGr_83d8c71719d347c6aacf75d2b839052c.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
055aca89-d793-4082-ab34-d3c846e5e76c1752840327803-Mast--Harbour-Men-Jeans-2811752840327233-1,055aca89-d793-4082-ab34-d3c846e5e76c1752840327803-Mast--Harbour-Men-Jeans-2811752840327233-1,055aca89-d793-4082-ab34-d3c846e5e76c1752840327803-Mast--Harbour-Men-Jeans-2811752840327233-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/055aca89-d793-4082-ab34-d3c846e5e76c1752840327803-Mast--Harbour-Men-Jeans-2811752840327233-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
059d28ed-0ec9-49f2-a21d-5de44b2b9aa61706010736853HIGHLANDERMenStraightFitCleanLookStretchableJeans1,059d28ed-0ec9-49f2-a21d-5de44b2b9aa61706010736853HIGHLANDERMenStraightFitCleanLookStretchableJeans1,059d28ed-0ec9-49f2-a21d-5de44b2b9aa61706010736853HIGHLANDERMenStraightFitCleanLookStretchableJeans1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/059d28ed-0ec9-49f2-a21d-5de44b2b9aa61706010736853HIGHLANDERMenStraightFitCleanLookStretchableJeans1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
06c094ef-ca1c-48a9-8f03-a4eae54a5aea1704887216849-Mast--Harbour-Men-Jeans-3531704887216354-1,06c094ef-ca1c-48a9-8f03-a4eae54a5aea1704887216849-Mast--Harbour-Men-Jeans-3531704887216354-1,06c094ef-ca1c-48a9-8f03-a4eae54a5aea1704887216849-Mast--Harbour-Men-Jeans-3531704887216354-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/06c094ef-ca1c-48a9-8f03-a4eae54a5aea1704887216849-Mast--Harbour-Men-Jeans-3531704887216354-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
0884c97f-389b-4a92-bf44-81fad07c54281742209814653-Slash-Slim-Tapered-Mid-Rise-Med-Wash-Jeans-5701742209814147-1,0884c97f-389b-4a92-bf44-81fad07c54281742209814653-Slash-Slim-Tapered-Mid-Rise-Med-Wash-Jeans-5701742209814147-1,0884c97f-389b-4a92-bf44-81fad07c54281742209814653-Slash-Slim-Tapered-Mid-Rise-Med-Wash-Jeans-5701742209814147-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/0884c97f-389b-4a92-bf44-81fad07c54281742209814653-Slash-Slim-Tapered-Mid-Rise-Med-Wash-Jeans-5701742209814147-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
096fc7b8-74b9-4188-be3d-37e13c0d092a1738060364600-Mast--Harbour-Men-Jeans-5811738060364118-1,096fc7b8-74b9-4188-be3d-37e13c0d092a1738060364600-Mast--Harbour-Men-Jeans-5811738060364118-1,096fc7b8-74b9-4188-be3d-37e13c0d092a1738060364600-Mast--Harbour-Men-Jeans-5811738060364118-1.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/096fc7b8-74b9-4188-be3d-37e13c0d092a1738060364600-Mast--Harbour-Men-Jeans-5811738060364118-1.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
0BcT7STX_36dce91280eb4d84927e4ccc2dcaca83,0BcT7STX_36dce91280eb4d84927e4ccc2dcaca83,0BcT7STX_36dce91280eb4d84927e4ccc2dcaca83.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/0BcT7STX_36dce91280eb4d84927e4ccc2dcaca83.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
0DtzASfy_12f434633002443caf0b1c4f659d0595,0DtzASfy_12f434633002443caf0b1c4f659d0595,0DtzASfy_12f434633002443caf0b1c4f659d0595.jpg,/Users/tanmay/Desktop/Capstone/code/Trail/img/updated_db/Casual/Jeans/Men/0DtzASfy_12f434633002443caf0b1c4f659d0595.jpg,Men,Apparel,Bottomwear,Jeans,Pattern,Casual,Men Casual Jeans
